step,a,b,c,x,xprime,y
243115,1,1,3,9705,57,17
243117,1,1,2,9705,57,17
243119,1,1,1,9705,57,17
243121,0,1,1,9705,57,17
243403,0,1,1,9706,56,17
244298,0,1,0,9706,56,18
245395,0,1,0,9707,55,18
246298,0,1,0,9708,54,18
246302,0,1,0,9709,53,18
246581,0,1,0,9710,52,18
247048,0,1,0,9711,51,18
248077,0,1,0,9712,50,18
248937,0,1,0,9713,49,18
249880,0,1,0,9714,48,18
251210,0,1,0,9715,47,18
251418,0,1,0,9716,46,18
252072,0,1,0,9717,45,18
252613,0,1,0,9718,44,18
252728,0,1,0,9719,43,18
253489,0,1,0,9720,42,18
254112,1,1,0,9720,42,18
254116,1,1,1,9718,43,18
254117,1,1,2,9716,44,18
254121,1,1,1,9716,44,18
254127,1,1,2,9714,45,18
254129,1,1,1,9714,45,18
254138,1,1,2,9712,46,18
254153,1,1,2,9713,45,18
254154,0,1,2,9713,45,18
254158,0,1,1,9713,45,18
254209,0,1,0,9713,45,19
254254,0,1,0,9714,44,19
256157,0,1,0,9715,43,19
257575,0,1,0,9716,42,19
257917,0,1,0,9717,41,19
259816,0,1,0,9718,40,19
259914,0,1,0,9719,39,19
261951,0,1,0,9720,38,19
262313,1,1,0,9720,38,19
262323,1,1,1,9718,39,19
262360,1,1,2,9716,40,19
262368,1,1,1,9716,40,19
262369,1,1,2,9714,41,19
262372,1,1,3,9712,42,19
262378,1,1,2,9712,42,19
262386,1,1,1,9712,42,19
262392,1,1,2,9710,43,19
262400,1,1,3,9708,44,19
262403,1,1,4,9706,45,19
262407,1,1,5,9704,46,19
262408,1,1,6,9702,47,19
262410,0,1,6,9702,47,19
262417,0,1,5,9702,47,19
262440,0,1,4,9702,47,19
262447,0,1,3,9702,47,19
262466,0,1,2,9702,47,19
262479,0,1,1,9702,47,19
262512,0,1,0,9702,47,20
262867,0,1,0,9703,46,20
262921,0,1,0,9704,45,20
263566,0,1,0,9705,44,20
263687,0,1,0,9706,43,20
264410,0,1,0,9707,42,20
264504,0,1,0,9708,41,20
264720,0,1,0,9709,40,20
265593,1,1,0,9709,40,20
265603,0,1,0,9709,40,20
266022,0,1,0,9710,39,20
266559,1,1,0,9710,39,20
266584,1,1,1,9708,40,20
266586,1,1,2,9706,41,20
266587,1,1,1,9706,41,20
266588,1,1,2,9704,42,20
266591,1,1,1,9704,42,20
266592,1,1,2,9702,43,20
266596,1,1,3,9700,44,20
266598,1,1,2,9700,44,20
266602,1,1,3,9698,45,20
266612,1,1,2,9698,45,20
266614,1,1,3,9696,46,20
266622,1,1,4,9694,47,20
266624,0,1,4,9694,47,20
266632,0,1,3,9694,47,20
266636,0,1,2,9694,47,20
266649,0,1,1,9694,47,20
266731,0,1,0,9694,47,21
266827,0,1,0,9695,46,21
266964,0,1,0,9696,45,21
268013,1,1,0,9696,45,21
268014,1,1,1,9694,46,21
268031,1,1,2,9692,47,21
268046,1,1,3,9690,48,21
268047,1,1,2,9690,48,21
268048,1,1,3,9688,49,21
268053,1,1,2,9688,49,21
268056,0,1,2,9688,49,21
268068,0,1,1,9688,49,21
268571,0,1,0,9688,49,22
271332,0,1,0,9689,48,22
271531,0,1,0,9690,47,22
275746,0,1,0,9691,46,22
275841,0,1,0,9692,45,22
276081,0,1,0,9693,44,22
276422,0,1,0,9694,43,22
277225,0,1,0,9695,42,22
278451,0,1,0,9696,41,22
278743,0,1,0,9697,40,22
278766,0,1,0,9698,39,22
279148,0,1,0,9699,38,22
279201,0,1,0,9700,37,22
279243,0,1,0,9701,36,22
279671,0,1,0,9702,35,22
284702,0,1,0,9703,34,22
285833,0,1,0,9704,33,22
287603,1,1,0,9704,33,22
287605,0,1,0,9704,33,22
288062,1,1,0,9704,33,22
288124,1,1,1,9702,34,22
288136,1,1,2,9700,35,22
288137,1,1,3,9698,36,22
288143,1,1,4,9696,37,22
288144,1,1,3,9696,37,22
288146,1,1,2,9696,37,22
288148,1,1,1,9696,37,22
288158,1,1,2,9694,38,22
288164,1,1,3,9692,39,22
288168,1,1,2,9692,39,22
288187,1,1,3,9690,40,22
288195,1,1,4,9688,41,22
288196,1,1,5,9686,42,22
288199,1,1,4,9686,42,22
288202,1,1,5,9684,43,22
288204,0,1,5,9684,43,22
288221,0,1,4,9684,43,22
288241,0,1,3,9684,43,22
288254,0,1,2,9684,43,22
288268,0,1,1,9684,43,22
288296,0,1,0,9684,43,23
288954,0,1,0,9685,42,23
289887,0,1,0,9686,41,23
290874,0,1,0,9687,40,23
291038,1,1,0,9687,40,23
291041,1,1,1,9685,41,23
291060,1,1,2,9683,42,23
291065,1,1,1,9683,42,23
291074,1,1,2,9681,43,23
291079,1,1,1,9681,43,23
291083,1,1,2,9679,44,23
291086,1,1,1,9679,44,23
291091,1,1,2,9677,45,23
291097,1,1,1,9677,45,23
291116,1,1,2,9675,46,23
291117,1,1,1,9675,46,23
291118,1,1,2,9673,47,23
291121,1,1,1,9673,47,23
291142,1,1,2,9671,48,23
291144,1,1,3,9669,49,23
291154,1,1,2,9669,49,23
291156,1,1,1,9669,49,23
291161,1,1,2,9667,50,23
291165,1,1,1,9667,50,23
291179,0,1,1,9667,50,23
291238,0,1,1,9668,49,23
291305,1,1,1,9668,49,23
291320,1,1,2,9666,50,23
291322,1,1,3,9664,51,23
291325,1,1,4,9662,52,23
291347,1,1,3,9662,52,23
291350,1,1,2,9662,52,23
291359,1,1,3,9660,53,23
291363,1,1,2,9660,53,23
291368,1,1,3,9658,54,23
291369,1,1,4,9656,55,23
291372,1,1,5,9654,56,23
291373,1,1,6,9652,57,23
291376,1,1,7,9650,58,23
291387,1,1,6,9650,58,23
291389,1,1,5,9650,58,23
291394,1,1,6,9648,59,23
291400,1,1,7,9646,60,23
291409,1,1,6,9646,60,23
291413,1,1,5,9646,60,23
291421,1,1,4,9646,60,23
